,Price,Rooms,Area,Floor,Max_house_floor,Year_built,Link
158,3090000,1,34.3,8,10,1992,https://www.avito.ru/perm/kvartiry/1-k._kvartira_343m_810et._2375626550
159,7500000,3,72.1,14,16,1990,https://www.avito.ru/perm/kvartiry/3-k._kvartira_721m_1416et._2384077047
160,5350000,2,62.0,2,16,2013,https://www.avito.ru/perm/kvartiry/2-k._kvartira_62m_216et._2387355816
161,7250000,3,95.7,10,16,2019,https://www.avito.ru/perm/kvartiry/3-k._kvartira_957m_1016et._2310288214
162,4300000,1,36.0,8,9,1978,https://www.avito.ru/perm/kvartiry/1-k._kvartira_36m_89et._2334328288
163,3900000,2,44.1,9,9,1980,https://www.avito.ru/perm/kvartiry/2-k._kvartira_441m_99et._2371783387
164,3480000,2,47.8,5,5,1990,https://www.avito.ru/perm/kvartiry/2-k._kvartira_478m_55et._2342319028
165,3299999,3,60.0,1,5,1963,https://www.avito.ru/perm/kvartiry/3-k._kvartira_60m_15et._2243373727
166,3300000,1,28.0,2,9,2021,https://www.avito.ru/perm/kvartiry/kvartira-studiya_28m_29et._2287703213
167,3700000,1,43.5,11,14,2015,https://www.avito.ru/perm/kvartiry/kvartira-studiya_435m_13et._2372963879
168,3450000,1,44.0,11,14,1983,https://www.avito.ru/perm/kvartiry/kvartira-studiya_44m_19et._2349727238
169,5790000,2,45.0,12,25,2020,https://www.avito.ru/perm/kvartiry/2-k._kvartira_45m_1225et._2315266501
170,3600000,2,44.2,8,9,1973,https://www.avito.ru/perm/kvartiry/2-k._kvartira_442m_89et._2388529645
171,6795000,3,75.0,11,25,2021,https://www.avito.ru/perm/kvartiry/3-k._kvartira_75m_1125et._2289731829
172,4480000,3,67.0,9,9,1990,https://www.avito.ru/perm/kvartiry/3-k._kvartira_67m_99et._2369252446
173,4100000,3,58.5,5,9,1984,https://www.avito.ru/perm/kvartiry/3-k._kvartira_585m_59et._2350907509
174,2700000,2,51.3,2,3,1954,https://www.avito.ru/perm/kvartiry/2-k._kvartira_513m_23et._2349777978
175,2600000,1,29.8,6,9,1988,https://www.avito.ru/perm/kvartiry/1-k._kvartira_298m_69et._2355943720
176,2100000,2,50.7,3,3,1980,https://www.avito.ru/perm/kvartiry/2-k._kvartira_507m_33et._2391564365
177,2800000,1,34.3,2,10,1994,https://www.avito.ru/perm/kvartiry/1-k._kvartira_343m_210et._2394372073
178,5700000,3,69.0,2,10,2005,https://www.avito.ru/perm/kvartiry/3-k._kvartira_69m_210et._2358815464
179,10000000,2,40.7,4,8,2019,https://www.avito.ru/perm/kvartiry/2-k._kvartira_407m_48et._2342132068
180,5000000,3,70.0,1,10,1994,https://www.avito.ru/perm/kvartiry/3-k._kvartira_70m_110et._2373942581
181,6700000,2,75.0,3,18,2007,https://www.avito.ru/perm/kvartiry/2-k._kvartira_75m_318et._2350558734
182,2500000,3,47.2,3,5,1979,https://www.avito.ru/perm/kvartiry/3-k._kvartira_472m_35et._2361325832
183,4800000,2,62.4,7,16,2014,https://www.avito.ru/perm/kvartiry/2-k._kvartira_624m_716et._2394230317
184,6100000,3,69.9,4,5,1942,https://www.avito.ru/perm/kvartiry/3-k._kvartira_699m_45et._2319523958
185,5250000,2,49.5,2,17,2018,https://www.avito.ru/perm/kvartiry/2-k._kvartira_495m_217et._2381971799
