,Price,Rooms,Area,Floor,Max_house_floor,Year_built,balcony_or_loggia_балкон,balcony_or_loggia_лоджия,Bathroom_раздельный,Bathroom_совмещенный,District_Дзержинский,District_Индустриальный,District_Кировский,District_Ленинский,District_Мотовилихинский,District_Орджоникидзевский,District_Свердловский
267,5300000,3,76.3,1,10,1994.0,0,1,1,0,1,0,0,0,0,0,0
268,4550000,2,53.7,2,4,2022.0,0,1,1,0,0,0,1,0,0,0,0
269,16900000,3,134.6,12,18,2005.0,0,1,0,1,0,0,0,1,0,0,0
270,2400000,2,47.0,2,2,1958.0,1,0,1,0,1,0,0,0,0,0,0
271,4550000,1,47.4,14,17,2021.0,0,1,0,1,0,0,0,0,1,0,0
272,10200000,3,90.0,21,25,2017.0,0,1,0,1,0,0,0,0,1,0,0
273,3650000,1,34.9,2,9,1989.0,1,0,1,0,1,0,0,0,0,0,0
274,2790000,1,38.0,7,10,2020.0,0,1,1,0,0,0,0,0,1,0,0
275,7000000,3,71.8,4,16,2018.0,1,0,1,0,0,1,0,0,0,0,0
276,2950000,3,57.1,2,5,1966.0,1,0,0,1,0,0,0,0,0,0,1
277,4700000,2,45.0,11,25,2020.0,1,0,0,1,0,0,0,0,0,0,1
278,3850000,3,61.0,2,2,1953.0,1,0,1,0,0,0,0,0,0,0,1
279,6500000,4,90.0,2,10,1992.0,1,0,1,0,0,0,0,0,0,0,1
280,3200000,3,62.2,1,5,1979.0,1,0,0,1,0,0,1,0,0,0,0
281,3000000,3,43.4,3,5,1966.0,1,0,0,1,0,0,0,0,1,0,0
282,4500000,3,59.7,5,9,1972.0,0,1,1,0,0,1,0,0,0,0,0
283,3350000,1,38.3,3,7,2008.0,0,1,1,0,1,0,0,0,0,0,0
284,7200000,4,104.0,3,10,2016.0,1,0,1,0,0,0,0,0,0,1,0
285,3100000,1,33.0,8,9,1990.0,0,1,1,0,0,1,0,0,0,0,0
286,3650000,2,43.2,4,5,1962.0,1,0,0,1,0,0,0,0,0,0,1
287,4050000,1,37.7,12,18,2020.0,0,1,0,1,0,1,0,0,0,0,0
288,4650000,3,60.0,2,9,1976.0,0,1,1,0,1,0,0,0,0,0,0
289,1750000,2,43.0,5,5,1964.0,1,0,0,1,0,0,1,0,0,0,0
290,3090000,1,33.0,6,16,2012.0,0,1,0,1,1,0,0,0,0,0,0
291,5100000,1,42.0,3,20,2011.0,1,0,0,1,0,0,0,0,1,0,0
292,2739000,1,33.0,2,5,1983.0,1,0,0,1,1,0,0,0,0,0,0
293,4717000,1,43.5,16,23,2021.0,0,1,0,1,0,0,0,0,0,0,1
294,2700000,1,21.0,20,25,2018.0,0,1,0,1,0,1,0,0,0,0,0
295,1450000,1,24.6,2,5,1964.0,1,0,0,1,0,1,0,0,0,0,0
296,2950000,1,33.3,3,5,1983.0,1,0,0,1,1,0,0,0,0,0,0
297,3230000,2,45.8,3,4,1962.0,1,0,0,1,0,0,0,0,1,0,0
298,3400000,1,35.0,3,4,2022.0,0,1,0,1,0,0,0,0,1,0,0
299,4000000,2,47.1,1,5,1984.0,0,1,1,0,0,1,0,0,0,0,0
300,4120000,1,50.0,9,16,2021.0,0,1,0,1,0,0,1,0,0,0,0
301,7500000,3,72.4,5,5,1958.0,1,0,0,1,0,0,0,0,0,0,1
302,2950000,1,34.4,8,9,1989.0,0,1,1,0,0,0,1,0,0,0,0
303,2995000,2,46.2,5,5,1961.0,1,0,0,1,0,1,0,0,0,0,0
304,6200000,3,76.0,3,9,1994.0,1,0,1,0,0,0,0,1,0,0,0
305,3800000,1,36.0,4,9,1985.0,0,1,1,0,0,0,0,0,0,0,1
